,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21
0,0.5459589999999999,0.004551999999999445,0.003912999999999833,0.0037600000000006517,0.004163000000000139,0.00617999999999963,0.006344000000000349,0.005114999999999981,0.006466000000000527,0.0052440000000002485,0.006155999999999828,0.005204999999999238,0.006255000000000344,0.005599000000000132,0.00587599999999977,0.00572700000000026,0.0058189999999997966,0.005685999999999858,0.005583999999999811,0.005303999999999753,0.004680000000000462
1,0.0050200000000000244,0.005274000000000001,0.005309999999999704,0.004995000000000083,0.005805999999999756,0.006050000000000111,0.005506999999999707,0.005453000000000152,0.005710000000000548,0.005676000000000236,0.004976999999999343,0.0057349999999996015,0.005105999999999611,0.005204999999999238,0.0058749999999996305,0.0055320000000005365,0.004898999999999987,0.006116000000000454,0.005507000000000595,0.005635999999999974,0.0065749999999997755
2,0.005118999999999652,0.005345000000000155,0.005385999999999669,0.004722000000000115,0.005149000000000292,0.0048560000000001935,0.005359999999999587,0.005381999999999998,0.006015000000000548,0.005637999999999366,0.005155999999999494,0.006059000000000481,0.005243000000000109,0.0058000000000006935,0.006000000000000227,0.005330999999999975,0.006020000000000358,0.005664000000000335,0.005891000000000091,0.004535000000000622,0.004303999999999419
3,0.005392999999999759,0.0060669999999998225,0.00681500000000046,0.006426999999999516,0.007244000000000028,0.00557400000000019,0.005379999999999718,0.0048000000000003595,0.004985999999999713,0.004557999999999396,0.0049760000000000915,0.004455999999999349,0.004946999999999591,0.005001000000000033,0.004919000000000118,0.005512999999999657,0.006033999999999651,0.005738000000000021,0.00540399999999952,0.0047160000000001645,0.005940999999999974
4,0.005068999999999768,0.004711999999999605,0.004451000000000427,0.0055229999999992785,0.006254000000000204,0.004291000000000267,0.006930000000000547,0.005371000000000237,0.004970000000000141,0.005437999999999832,0.00508699999999962,0.005633999999999695,0.005505999999999567,0.00526900000000019,0.004834000000000671,0.005277999999999672,0.005673999999999957,0.004820999999999742,0.005609000000000641,0.0057800000000005625,0.005601000000000411
5,0.005696999999999619,0.007054999999999367,0.006543999999999883,0.005997999999999948,0.006644000000000538,0.00541299999999989,0.005677999999999628,0.0059829999999996275,0.006043000000000021,0.006025000000000169,0.005450000000000621,0.005379000000000467,0.006145000000000067,0.005605000000000082,0.005203999999999986,0.005679999999999907,0.005160000000000053,0.00513300000000072,0.005371000000000237,0.005899000000000321,0.005425999999999931
6,0.005219999999999558,0.0053520000000002454,0.005816000000000265,0.006062000000000012,0.005481999999999765,0.005627000000000493,0.005936000000000163,0.005686000000000746,0.0051120000000004495,0.004910999999999888,0.005131999999999692,0.005328999999999695,0.006321999999999939,0.005561000000000149,0.0045880000000000365,0.005400999999999989,0.004571000000000325,0.0047160000000001645,0.0045239999999999725,0.004963000000000051,0.0064549999999998775
7,0.005829999999999558,0.006079000000000612,0.004538999999999405,0.0058189999999997966,0.0055840000000006995,0.0049400000000003885,0.0048440000000002925,0.005550000000000388,0.005202999999999847,0.006044999999999412,0.0053200000000002134,0.007604999999999862,0.0053520000000002454,0.005220999999999698,0.006097999999999715,0.004997999999999614,0.005386999999999809,0.00541299999999989,0.005195000000000505,0.005500999999999756,0.004471000000000558
8,0.005696999999999619,0.006210000000000271,0.007075999999999638,0.005059000000000147,0.005472999999999395,0.004921999999999649,0.005447000000000202,0.005955000000000155,0.004754000000000147,0.005237000000000158,0.0061629999999999185,0.005584999999999951,0.0056629999999993075,0.004893000000000036,0.0044079999999997455,0.0051160000000001205,0.004647999999999541,0.005409000000000219,0.005803000000000225,0.00648399999999949,0.006515000000000271
9,0.0066670000000002005,0.007012999999999714,0.006372999999999962,0.007706999999999908,0.005890000000000839,0.004823000000000022,0.004838000000000342,0.004236000000000573,0.007211999999999996,0.004858999999999725,0.006021000000000498,0.005213000000000356,0.00464700000000029,0.004984999999999573,0.004876999999999576,0.0050149999999993256,0.004647999999999541,0.004927999999999599,0.004387999999999614,0.0033929999999999794,0.006351999999999691
